scenario,method,step,phase,n,exact_policy_gain_mean,exact_policy_gain_ci95,oracle_gain_mean,oracle_gain_ci95,dynamic_regret_mean,dynamic_regret_ci95,normalized_dynamic_regret_mean,normalized_dynamic_regret_ci95,model_error_mean,model_error_ci95,preferred_goal_fraction_mean,preferred_goal_fraction_ci95,true_wind_probability_mean,true_wind_probability_ci95,estimated_wind_down_mean,estimated_wind_down_ci95,surprise_mean,surprise_ci95,effective_model_rate_mean,effective_model_rate_ci95
loca_reward,q_learning,1100,prechange,20,0.2667140479397264,0.12446664924626433,0.717,4.99217154710575e-17,0.45028595206027344,0.12446664924626433,0.6280138801398516,0.17359365306313018,nan,nan,0.49912907605215295,0.1723076166491059,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1200,prechange,20,0.23747315532870936,0.1158633386788476,0.717,4.99217154710575e-17,0.4795268446712905,0.1158633386788476,0.6687961571426648,0.16159461461485022,nan,nan,0.5621481083019545,0.16192050975803746,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1300,prechange,20,0.22677574117524357,0.11794086408058403,0.717,4.99217154710575e-17,0.4902242588247563,0.11794086408058403,0.683715842154472,0.16449213958240455,nan,nan,0.5436422551807167,0.16409470619561758,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1400,prechange,20,0.243580806300952,0.12870101296141412,0.717,4.99217154710575e-17,0.47341919369904784,0.12870101296141412,0.6602778154798437,0.17949932072721642,nan,nan,0.5768526345449423,0.17720578755777489,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1500,prechange,20,0.2925018820067419,0.1301995857856071,0.717,4.99217154710575e-17,0.42449811799325793,0.1301995857856071,0.5920475843699554,0.1815893804541243,nan,nan,0.6510604779835549,0.16931253786725245,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1600,prechange,20,0.2906039411704057,0.13621896268052472,0.717,4.99217154710575e-17,0.4263960588295941,0.13621896268052472,0.5946946427190993,0.18998460624898855,nan,nan,0.607799892415277,0.15217661272017974,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1700,prechange,20,0.33666882438248125,0.14125497474501164,0.717,4.99217154710575e-17,0.3803311756175186,0.14125497474501164,0.5304479436785478,0.19700833297770107,nan,nan,0.624023412484951,0.1802795179484727,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1800,prechange,20,0.26374971775881734,0.12864751439253566,0.717,4.99217154710575e-17,0.4532502822411827,0.12864751439253563,0.6321482318566005,0.17942470626574017,nan,nan,0.6210099424385139,0.15116469890926365,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1900,prechange,20,0.3305960084696792,0.13650037521871644,0.717,4.99217154710575e-17,0.3864039915303207,0.13650037521871644,0.5389177008791084,0.19037709235525307,nan,nan,0.5145947802197802,0.15971093828948776,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,2000,prechange,20,0.3029057032623471,0.14222020742940483,0.717,4.99217154710575e-17,0.4140942967376528,0.14222020742940483,0.5775373734137417,0.1983545431372453,nan,nan,0.5867861305361306,0.1322466235599916,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,2100,prechange,20,0.23962037206256154,0.12731214815535147,0.717,4.99217154710575e-17,0.4773796279374384,0.12731214815535147,0.6658014336644887,0.17756227078849582,nan,nan,0.6421328671328672,0.11083814335564986,0.0,0.0,nan,nan,nan,nan,nan,nan
