scenario,method,metric,n,difference_vs_q_mean,difference_vs_q_se,difference_vs_q_ci95,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
wind_drift,latest_dyna,postchange_regret_500,20,0.00970051744194591,0.08767251240113064,0.17183812430621603,-0.16101575843806804,0.17753768512524978,False
wind_drift,latest_dyna,postchange_regret_2000,20,-0.00016848961629066032,0.053690569341508516,0.10523351590935669,-0.10391113647147039,0.1046192328128521,False
wind_drift,latest_dyna,tail_dynamic_regret,20,-0.006414670319604074,0.06017357009027936,0.11794019737694755,-0.12305613933770139,0.11170497871610378,False
wind_drift,empirical_dyna,mean_normalized_dynamic_regret,20,-0.02960416069442582,0.15450720221782901,0.30283411634694485,-0.32639132255566894,0.26827548414746205,False
wind_drift,empirical_dyna,postchange_regret_500,20,0.02168957617928452,0.11126528421597791,0.2180799570633167,-0.19506175802051354,0.23514477950383805,False
wind_drift,empirical_dyna,postchange_regret_2000,20,0.0023055160653284515,0.06296389764882894,0.12340923939170471,-0.11904218078035711,0.12310644700613456,False
wind_drift,empirical_dyna,tail_dynamic_regret,20,-0.0009931542115776668,0.06788494254467736,0.13305448738756762,-0.13275867362200863,0.13041901321765353,False
wind_drift,ema_dyna,mean_normalized_dynamic_regret,20,-0.007397779581492317,0.15340605116866002,0.30067586029057364,-0.3036410915364179,0.28682344696642736,False
wind_drift,ema_dyna,postchange_regret_500,20,0.020428244015626994,0.10975291119808228,0.21511570594824125,-0.19031632671127188,0.2318384759510334,False
wind_drift,ema_dyna,postchange_regret_2000,20,-0.0009196977785054572,0.06399567716932808,0.12543152725188303,-0.12451732190470474,0.12165387528876863,False
wind_drift,ema_dyna,tail_dynamic_regret,20,0.01997618844480094,0.0695656686409022,0.13634871053616832,-0.11624984335181178,0.15365149703889946,False
wind_drift,prioritized_ema,mean_normalized_dynamic_regret,20,-0.06127493149215113,0.13777723795400515,0.2700433863898501,-0.3257004742529006,0.2009619815377869,False
wind_drift,prioritized_ema,postchange_regret_500,20,-0.0021464635050057524,0.09782141658448557,0.1917299765055917,-0.1881230470855213,0.1847628918914354,False
wind_drift,prioritized_ema,postchange_regret_2000,20,-0.014081972356475476,0.05629010254967719,0.11032860099736728,-0.12217327540010964,0.09385131677780768,False
wind_drift,prioritized_ema,tail_dynamic_regret,20,-0.0025744022745857104,0.06276063506896788,0.12301084473517705,-0.12332952092709211,0.11669610831996277,False
