scenario,comparison,treatment,control,metric,n,paired_difference_mean,paired_difference_se,paired_difference_ci95,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,mean_normalized_dynamic_regret,20,-0.0044426901994727985,0.005952196012372839,0.011666304184250765,-0.015663383402760918,0.006873916118593994,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_500,20,0.0012824033574309348,0.0051587908691706754,0.010111230103574525,-0.008540901021598761,0.011131307095387578,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_2000,20,0.007683980456542212,0.007950206762854725,0.015582405255195261,-0.00774100715070971,0.022560438860706408,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_dynamic_regret,20,-0.007680697985033583,0.005424484471673517,0.010631989564480094,-0.01803806547935543,0.0026784954914415592,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_model_error,20,0.05372094836570259,0.0022068501172699505,0.004325426229849103,0.04964225779318452,0.05807851310234359,True
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,mean_normalized_dynamic_regret,20,-0.022260665253286165,0.01468091544028919,0.028774594262966812,-0.048409904053610925,0.008090684477620581,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_500,20,0.022300812579049558,0.013219828084337783,0.025910863045302053,-0.001634492439443328,0.04860544527257562,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_2000,20,0.005605429126397681,0.011464301829155955,0.022470031585145673,-0.015365796395933301,0.028059733224549785,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,tail_dynamic_regret,20,-0.009645859481605833,0.014260166077449954,0.02794992551180191,-0.03532375706015315,0.01841684241704686,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,tail_model_error,20,-0.051413681882557793,0.008489174429809282,0.016638781882426193,-0.06884866648500489,-0.03588839925911534,True
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,mean_normalized_dynamic_regret,20,0.019938135601706836,0.02780167849809822,0.05449128985627251,-0.03444409590927919,0.07147917315836808,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_500,20,-0.013358133987975715,0.023644091984706385,0.046342420290024514,-0.060264910253208875,0.03111002328097304,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_2000,20,-0.017917608792832895,0.027869403292776145,0.05462403045384124,-0.06999846777464709,0.03713305287922773,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_dynamic_regret,20,-0.02802634260585989,0.02766076168156614,0.054215092895869635,-0.08074456141408314,0.02575549404054735,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_model_error,20,0.014511898041787883,0.01589343187308074,0.031151126471238248,-0.014757292638848268,0.0454251923503276,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,mean_normalized_dynamic_regret,20,-0.006562369183004707,0.008783060103229727,0.017214797802330265,-0.022674741013646145,0.010844582130861048,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_500,20,-0.0078106205801188764,0.013767857052737534,0.026984999823365566,-0.03415239932568687,0.017844052773812534,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_2000,20,-0.00010857553817637395,0.009963752196454019,0.019528954305049875,-0.019459618018219403,0.01900273619844475,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_dynamic_regret,20,-0.0018392023762450374,0.008882196152524077,0.01740910445894719,-0.018473144174266865,0.015880464097382647,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_model_error,20,0.0002989930019326712,0.0008426371996469698,0.0016515689113080607,-0.0012139558927641183,0.0019954095962567545,False
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,mean_normalized_dynamic_regret,20,0.014744739834206802,0.005258456517938214,0.0103065747751589,0.004287612032909175,0.024399081402762937,True
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_500,20,0.08302511828248381,0.014681078846569077,0.02877491453927539,0.05540817134758502,0.1114011325278705,True
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_2000,20,0.021514401382873517,0.007752509164716208,0.015194917962843767,0.00692811148751541,0.03615944322547015,True
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_dynamic_regret,20,0.009171544261709123,0.007515576859946683,0.014730530645495498,-0.005174779081649006,0.023361044014511077,False
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_model_error,20,0.03154975592511909,0.0019257000940562448,0.0037743721843502397,0.027824573545282342,0.03509583695124853,True
