scenario,method,n,mean_normalized_dynamic_regret_mean,mean_normalized_dynamic_regret_se,mean_normalized_dynamic_regret_ci95,postchange_regret_500_mean,postchange_regret_500_se,postchange_regret_500_ci95,postchange_regret_2000_mean,postchange_regret_2000_se,postchange_regret_2000_ci95,tail_dynamic_regret_mean,tail_dynamic_regret_se,tail_dynamic_regret_ci95,tail_model_error_mean,tail_model_error_se,tail_model_error_ci95,tail_preferred_goal_fraction_mean,tail_preferred_goal_fraction_se,tail_preferred_goal_fraction_ci95,stream_average_reward_mean,stream_average_reward_se,stream_average_reward_ci95,elapsed_seconds_mean,elapsed_seconds_se,elapsed_seconds_ci95
obstacle_abrupt,q_learning,20,0.2987433108103892,0.04554835608960763,0.08927477793563096,0.34248510326769105,0.022224030268092047,0.04355909932546041,0.19147645707649494,0.0192134964401707,0.037658453022734566,0.0741437219013535,0.022762133949699677,0.044613782541411365,nan,nan,nan,0.2757402173849542,0.09060040758726043,0.17757679887103045,0.4458395000000264,0.029664442161789307,0.05814230663710704,5.610415005777031,0.2030873131807832,0.3980511338343351
obstacle_abrupt,sarsa_lambda,20,0.6460822389137696,0.09030613003938884,0.17700001487720213,0.3893437958104039,0.031716133635692555,0.0621636219259574,0.3152068264914739,0.04316660424292484,0.08460654431613268,0.25627762011249233,0.04932815343066078,0.09668318072409512,nan,nan,nan,0.17232566045066045,0.10519826390845664,0.206188597260575,0.22480387499999574,0.055351543365206465,0.10848902499580466,6.251448055496439,0.11742735584559902,0.23015761745737406
obstacle_abrupt,latest_dyna,20,0.3135594024766681,0.07635465906747665,0.14965513177225423,0.32284032696999176,0.029879119973922792,0.05856307514888867,0.16350297630635605,0.03517734269114596,0.06894759167464608,0.11499734690600483,0.03668159342362482,0.07189592311030465,0.22337342403628116,0.024340551978435793,0.04770748187773415,0.4002601911976912,0.11397257526776818,0.2233862475248256,0.41217575000004236,0.04531019886465959,0.0888079897747328,9.750544717675075,0.29558437558498263,0.5793453761465659
obstacle_abrupt,empirical_dyna,20,0.38611335950487974,0.03857745967238506,0.07561182095787472,0.32620103837528097,0.017286750410382423,0.033882030804349546,0.20941720991401228,0.017428240082522254,0.034159350561743615,0.23021401951173742,0.016458929603779503,0.03225950202340783,0.18482389963136178,0.017035108745522862,0.03338881314122481,0.5807947425381637,0.10529314044518924,0.2063745552725709,0.45848250000003415,0.027553367191429038,0.05400459969520091,12.795377489645034,0.3375976911196087,0.661691474594433
obstacle_abrupt,ema_dyna,20,0.2460787069271034,0.0456153295032178,0.08940604582630687,0.3123386977347228,0.015522929959820513,0.030424942721248203,0.16023428392806718,0.01893502414076915,0.037112647315907535,0.07768699545038375,0.02217171427044175,0.04345655997006583,0.1768295694108088,0.017998465722029403,0.03527699281517763,0.5499146540593909,0.10986585715945894,0.2153370800325395,0.46672437500004504,0.02802555557156361,0.05493008892026467,12.080947402119637,0.3760806177296281,0.737118010750071
obstacle_abrupt,prioritized_ema,20,0.34931751935016814,0.08695767797600336,0.1704370488329666,0.34387361752207213,0.02584289463719272,0.050652073488897734,0.23934585624261687,0.03240342184175881,0.06351070680984727,0.1367177004961385,0.04309174297457552,0.08445981623016802,0.23457704727979434,0.031875903582308115,0.06247677102132391,0.6427897840007215,0.11232798370413184,0.22016284806009842,0.4039817500000743,0.05222792377246991,0.10236673059404103,47.1092946129851,1.2806973568965565,2.510166819517251
obstacle_abrupt,cafd_uniform,20,0.12157050443104467,0.0028494882421027487,0.005584996954521387,0.3109189018647492,0.012317999367487594,0.024143278760275683,0.11448528175314716,0.003473704978577562,0.006808461758012021,0.04202767444051402,0.0034149705538670883,0.006693342285579493,0.0008636269638485917,2.7636054394174038e-05,5.416666661258112e-05,0.9551819222444223,0.009667699420367153,0.01894869086391962,0.5297815000001096,0.0008583558411304187,0.0016823774486156207,24.41546803545207,0.561432894969426,1.100408474140075
obstacle_abrupt,cafd_lite,20,0.11183440872550661,0.001873581781326276,0.0036722202913995012,0.2951846855363859,0.013045278873256452,0.025568746591582644,0.13206300961451772,0.005193759089969611,0.010179767816340437,0.03170787899281926,0.0012248027022669025,0.002400613296443129,0.0007672761820840615,1.9632485440863964e-05,3.847967146409337e-05,0.938953914141414,0.008763740433591127,0.017176931249838608,0.5321335000001141,0.0005926648227339796,0.0011616230525586,54.29783618967049,1.0918636742710335,2.1400528015712257
obstacle_abrupt,cafd_surprise,20,0.13895199464004426,0.0028289241469686443,0.005544691328058543,0.3025585172361871,0.013092080784519494,0.025660478337658207,0.153218920876307,0.008174737554337952,0.016022485606502386,0.0451448088119319,0.0031269765678816654,0.006128874073048064,0.0010562754469024044,1.4375976857641012e-05,2.8176914640976383e-05,0.9575925324675325,0.0050879440770146165,0.009972370390948648,0.5320796250001136,0.0007337110357951979,0.0014380736301585879,55.67872028783895,0.8684767147006228,1.7022143608132208
obstacle_abrupt,oracle_dyna,20,0.10501204406166131,0.0032043523273401005,0.006280530561586597,0.3125929191638277,0.013520112802687813,0.026499421093268114,0.10711021330503076,0.0044033433459864995,0.00863055295813354,0.03459755153478568,0.00189163622284603,0.0037076069967782186,0.0,0.0,0.0,0.9487660533910534,0.009551588993064988,0.018721114426407375,0.5311005000001123,0.0008082831992966288,0.0015842350706213924,18.92174365175888,0.5628793799638838,1.1032435847292124
